University,Acronym,Website,Registrar_Email,CSE_Dept_Email,CSE_Dept_Head_Email,Email_Source,CSE_Dept_URL,Notes
Central University of Science and Technology,CUST,https://www.cust.edu.bd,,,,not_found,https://www.cust.edu.bd/category/schools-of-computer-science-information-technology/department-of-computer-science-engineering/,
Central Women's University,CWU,https://www.cwu.edu.bd,,,,found_on_main_page,https://www.cwu.edu.bd/node/904,
Chandpur Science and Technology University,CSTU,https://www.cstu.ac.bd,registrar@cstu.ac.bd,info@cstu.ac.bd,jahid@cse.cstu.ac.bd,regex_extracted,https://www.cstu.ac.bd/departments/cse,
Chittagong Independent University (CIU),CIU,,,,,not_found,,Fetch failed
Chittagong Medical University,CMU,https://www.cmu.edu.bd,,,,not_found,,
Chittagong University of Engineering & Technology,CUET,https://www.cuet.ac.bd,,,,not_found,,
Chittagong Veterinary and Animal Sciences University,CVASU,https://cvasu.ac.bd,registrarcvasu@gmail.com,,,regex_extracted,,
"City University, Bangladesh",CUB,https://www.cub.edu.bd,registrar@cub.edu.bd,admissions@cub.edu.bd,,found_on_main_page,https://www.cub.edu.bd/event_post.php?title=CSE-Iftar-Mahfil-A-Gathering-of-Blessings-Togetherness-at-Canadian-University-of-Bangladesh,
Comilla University,CoU,https://www.cou.ac.bd,,,,not_found,https://www.cou.ac.bd/news-events-notices/25,
Cox's Bazar International University,CBIU,https://www.cbiu.ac.bd,,info@cbiu.ac.bd,,found_on_main_page,https://www.cbiu.ac.bd/program/cse,
Daffodil International University,DIU,https://www.diu.ac,registrar@daffodilvarsity.edu.bd,cseoffice@daffodilvarsity.edu.bd,headcse@daffodilvarsity.edu.bd,inferred_from_links,https://daffodilvarsity.edu.bd/department/CSE,
Dhaka University of Engineering & Technology,DUET,https://www.duet.ac.bd,,,,not_found,,
East Delta University,EDU,https://www.eastdelta.edu.bd,,,,not_found,https://www.eastdelta.edu.bd/programs-offered-by-the-university/soset/bsc-in-cse,
East West University,EWU,https://www.ewubd.edu,,,,inferred_from_links,,
"Eastern University, Bangladesh",EU,https://www.easternuni.edu.bd,,,,not_found,,
Exim Bank Agricultural University Bangladesh,EBAUB,,,,,not_found,,Fetch failed
Fareast International University,FIU,https://www.fiu.edu.bd,,,,not_found,,
Faridpur Engineering College,FEC,https://www.fec.edu.bd,,,,not_found,,
Feni University,FU,https://www.feniuniversity.ac.bd,,,afsar@feniuniversity.ac.bd,not_found,https://www.feniuniversity.ac.bd/department/department-of-computer-science-engineering,
First Capital University Of Bangladesh,FCUB,https://www.fcub.edu.bd,,info@fcub.edu.bd,,regex_extracted,,
Global University Bangladesh,GUB,https://www.gub.edu.bd,,,,not_found,,
Gono Bishwabidyalay,GB,https://www.gonouniversity.edu.bd,registrar@gonouniversity.edu.bd,,,inferred_from_links,https://www.gonouniversity.edu.bd/cse,
Habiganj Agricultural University,HAU,https://www.hau.ac.bd,,,,not_found,,
Hajee Mohammad Danesh Science & Technology University,HSTU,https://www.hstu.ac.bd,,,,not_found,,
Hamdard University Bangladesh,HUB,https://www.hamdarduniversity.edu.bd,,,,not_found,https://www.hamdarduniversity.edu.bd/department/cse,
IBAIS University,IU,https://www.iu.ac.bd,registrar@iu.ac.bd,,,inferred_from_links,,
"Independent University, Bangladesh",IUB,,,,,not_found,,Fetch failed
"International Islamic University, Chittagong",IIUC,https://www.iiuc.ac.bd,,coe@iiuc.ac.bd,ullah047@yahoo.com,inferred_from_links,https://www.iiuc.ac.bd/web/fse/cse,
International Standard University,ISU,https://www.isu.ac.bd,,,,not_found,https://www.isu.ac.bd/academics/2/5/b.sc-in-computer-science-and-engineering,
International University of Business Agriculture and Technology,IUBAT,https://www.iubat.edu,,,,not_found,,
Ishakha International University,IIUB,https://www.ishakha.edu.bd,,,,not_found,,
Islamic Arabic University,IAU,,,,,not_found,,Fetch failed
Islamic University of Technology,IUT,https://www.iutoic-dhaka.edu,,,,not_found,,
Jagannath University,JnU,https://www.jnu.ac.bd,,,,not_found,,
Jahangirnagar University,JU,https://www.juniv.edu,,office.cse@juniv.edu,,not_found,https://www.juniv.edu/department/cse,
Jashore University of Science and Technology,JUST,https://www.just.edu.bd,registrar@just.edu.bd,,,inferred_from_links,,
Jatiya Kabi Kazi Nazrul Islam University,JKKNIU,https://www.jkkniu.edu.bd,registrar@jkkniu.edu.bd,cse@jkkniu.edu.bd,kamal@jkkniu.edu.bd,inferred_from_links,,
Khulna University,KU,,,,,not_found,,Fetch failed
Khulna University of Engineering & Technology,KUET,https://www.kuet.ac.bd,,cse@kuet.ac.bd,head@cse.kuet.ac.bd,inferred_from_links,https://www.kuet.ac.bd/dce,
Khwaja Yunus Ali University,KYAU,https://www.kyau.edu.bd,,,,not_found,,
Kurigram Agricultural University,KAU,,,,,not_found,,Fetch failed
Leading University,LU,https://www.lus.ac.bd,,,,not_found,,
Manarat International University,MIU,https://www.manarat.ac.bd,,,,not_found,https://www.manarat.ac.bd/academics/academic-syllabus/cse/,
Mawlana Bhashani Science and Technology University,MBSTU,https://www.mbstu.ac.bd,,fazlu_bc@yahoo.com,,regex_extracted,,
Millennium University,MU,https://www.metrouni.edu.bd,,,,not_found,,
Mymensingh Engineering College.,MEC,https://www.mec.edu,,,,not_found,,
NPI University of Bangladesh,NPIUB,https://www.npiub.edu.bd,,,kartik@npiub.edu.bd,not_found,https://www.npiub.edu.bd/departments/cse,
National University Bangladesh,NU,,,,,not_found,,Fetch failed
Noakhali Science and Technology University,NSTU,https://www.nstu.edu.bd,,,,not_found,https://www.nstu.edu.bd/department.php?name=cste,
North Bengal International University,NBIU,https://www.nbiu.edu.bd,,,haque.emdadul.one5@gmail.com,not_found,https://www.nbiu.edu.bd/faculty/cse.html,
North East University Bangladesh,NEUB,https://www.neub.edu.bd,,,,not_found,https://www.neub.edu.bd/academic/school-of-natural-sciences/department-of-computer-science-and-engineering,
North South University,NSU,https://www.northsouth.edu,registrarsoffice@northsouth.edu,,nova.ahmed@northsouth.edu,inferred_from_links,https://ece.northsouth.edu,
"North Western University, Bangladesh",NWU,https://www.nwu.ac.bd,,,,not_found,,
Northern University of Business and Technology Khulna,NUB,https://www.nub.ac.bd,,,,not_found,,
Notre Dame University Bangladesh,NDUB,https://www.ndub.edu.bd,,,,not_found,,
Patuakhali Science and Technology University,PSTU,https://www.pstu.ac.bd,,,,not_found,,
People's University of Bangladesh,PUB,https://www.pub.ac.bd,,,,not_found,https://www.pub.ac.bd/programs/graduate/msc-in-cse/,
Port City International University,PCIU,https://www.portcity.edu.bd,,,,not_found,https://www.portcity.edu.bd/HomePage/ListPrimary/8/C/faculty-and-department,
Presidency University,PU,https://www.puc.ac.bd,,,,found_on_main_page,https://www.puc.ac.bd/Home/Events/admission-test-result-and-admission-notice-for-b--sc---engineering--in-cse-program-batch---49th--session--spring-2026-date-of-admission-test-22-04-2026,
Primeasia University,PAU,https://www.primeasia.edu.bd,,,noman.hossain@primeasia.edu.bd,found_on_main_page,,
Pundra University of Science and Technology,PUST,https://www.pust.ac.bd,registraroffice@pust.ac.bd,,,regex_extracted,,
RTM Al-Kabir Technical University,RTM-AKTU,https://www.rtm-aktu.edu.bd,,,awalansary@rtm-aktu.edu.bd,inferred_from_links,,
Rabindra Maitree University,RMU,https://www.rmu.ac.bd,,,,not_found,,
"Rabindra University, Bangladesh",RUB,https://www.rub.ac.bd,registrar@rub.ac.bd,,,inferred_from_links,,
Rajshahi Science & Technology University,RSTU,https://www.rstu.edu.bd,,,,found_on_main_page,,
Rajshahi University of Engineering & Technology,RUET,https://www.ruet.ac.bd,registrar@ruet.ac.bd,,,inferred_from_links,https://www.ruet.ac.bd/faculty,
Ranada Prasad Shaha University,RPSU,https://www.rpsu.edu.bd,,,shovan.cse@rpsu.edu.bd,not_found,https://www.rpsu.edu.bd/department/computer-science-engineering,
Rangamati Science and Technology University,RMSTU,,,,,not_found,,Fetch failed
Royal University of Dhaka,RUD,https://www.royal.edu.bd,,,,found_on_main_page,https://www.royal.edu.bd/bsc-in-cse/,
Shahjalal University of Science and Technology,SUST,,,,,not_found,,Fetch failed
Shanto-Mariam University of Creative Technology,SMUCT,https://www.smuct.ac.bd,,,,not_found,,
Sheikh Hasina Medical University,SHMU,,,,,not_found,,Fetch failed
Sheikh Hasina University,SHU,,,,,not_found,,Fetch failed
Sher-E-Bangla Agricultural University,SAU,https://www.sau.edu.bd,,,,found_on_main_page,,
Sonargaon University,SU,https://www.stamforduniversity.edu.bd,,,,not_found,,
Southeast University,SEU,https://www.seu.edu.bd,,,,not_found,,
State University of Bangladesh,SUB,https://www.sub.ac.bd,,,tarek@sub.edu.bd,not_found,https://www.sub.ac.bd/department/computer-science-and-engineering,
Sunamganj Science and Technology University,SSTU,,,,,not_found,,Fetch failed
Sylhet Agricultural University,SylAU,https://www.sau.ac.bd,registrar@sau.ac.bd,,,inferred_from_links,,
Sylhet Engineering College.,SEC,https://www.sec.ac.bd,,,,not_found,,
Sylhet International University,SIU,https://www.siu.edu.bd,,,,not_found,,
Sylhet Medical University,SMU,https://www.smu.edu.bd,,,,not_found,,
Tagore University of Creative Arts,TUCA,https://www.tuca.edu.bd,,,,not_found,,
The International University of Scholars,IUS,https://www.ius.edu.bd,,info@ius.edu.bd,,regex_extracted,https://www.ius.edu.bd/school-details/1,
Times University Bangladesh,TMUB,https://www.timesuniversitybd.com,,,,found_on_main_page,,
"Trust University, Barishal",TU,https://www.ru.ac.bd,,,,not_found,,
United International University,UIU,https://www.uiu.ac.bd,,,,not_found,,
University of Asia Pacific (Bangladesh),UAP,https://www.uap-bd.edu,,,,not_found,,
University of Brahmanbaria,UOB,https://www.uob.edu.bd,,,,not_found,,
University of Chittagong,CU,https://www.cu.ac.bd,registrarcu66@cu.ac.bd,,,inferred_from_links,,
University of Creative Technology Chittagong,UCTC,https://www.uctc.edu.bd,,,,not_found,,
University of Development Alternative,UODA,https://www.uoda.edu.bd,registrar@uoda.edu.bd,,,regex_extracted,,
University of Dhaka,DU,https://www.du.ac.bd,,office@cse.du.ac.bd,chairman.cse@du.ac.bd,not_found,https://www.du.ac.bd/student-achievements-details/681,
University of Global Village,UIGV,,,,,not_found,,Fetch failed
University of Information Technology and Sciences,UITS,https://www.uits.edu.bd,,info@uits.edu.bd,headcse@uits.edu.bd,inferred_from_links,,
University of Liberal Arts Bangladesh,ULAB,https://www.ulab.edu.bd,,,,not_found,https://www.ulab.edu.bd/schools#school-cse,
University of Rajshahi,RU,https://www.ru.ac.bd,,,,not_found,,
University of Science & Technology Chittagong,USTC,,,,,not_found,,Fetch failed
University of Skill Enrichment and Technology,USET,,,,,not_found,,Fetch failed
"University of South Asia, Bangladesh",USAB,https://www.southasiauni.ac.bd,,,,not_found,,
Uttara University,UU,https://www.uttarauniversity.edu.bd,,,,not_found,,
Varendra University,VU,https://www.vu.edu.bd,,,,not_found,,
Victoria University of Bangladesh,VUB,https://www.vub.edu.bd,,,,not_found,https://www.vub.edu.bd/blog-single-left-sidebar.html,
World University of Bangladesh,WUB,https://www.wub.edu.bd,,,,not_found,,
ZH Sikder University of Science & Technology,ZHSUST,https://www.zhsust.edu.bd,,,,not_found,,
ZNRF University of Management Sciences,ZUMS,https://www.zums.edu.bd,registrar@zums.edu.bd,,,inferred_from_links,,
